measurement_data;state_data;mode_probabilities;state_errors
[0.58978803, -0.08075581, -0.00589788, 0.8075581, 0.0589788, -0.00807558];[0.60371118, -0.0838695, -0.00380279, 0.79516739, 0.06252522, -0.01304417];[6.34996763e-09, 9.99999994e-01];[0.01392315, 0.00311369, 0.00209509, 0.01239071, 0.00354642, 0.00496859]
[0.58168309, -0.08134155, -0.00581683, 0.8134155, 0.05816831, -0.00813416];[0.59431505, -0.08467694, -0.00351336, 0.8022094, 0.06158496, -0.01317935];[6.34997070e-09, 9.99999994e-01];[0.01263196, 0.00333539, 0.00230347, 0.0112061, 0.00341665, 0.00504519]
[0.57351999, -0.08191916, -0.0057352, 0.81919157, 0.057352, -0.00819192];[0.58495854, -0.08534224, -0.00315123, 0.80906609, 0.06058044, -0.0132995];[6.34997332e-09, 9.99999994e-01];[0.01143855, 0.00342308, 0.00258397, 0.01012548, 0.00322844, 0.00510758]
[0.55702255, -0.08304974, -0.00557023, 0.83049737, 0.05570225, -0.00830497];[0.57492428, -0.08651187, -0.00312859, 0.81616903, 0.05975072, -0.01348007];[6.34995882e-09, 9.99999994e-01];[0.01790173, 0.00346213, 0.00244164, 0.01432834, 0.00404847, 0.0051751]
[0.54868986, -0.0836026, -0.0054869, 0.83602598, 0.05486899, -0.00836026];[0.56495458, -0.08745895, -0.00288262, 0.82306493, 0.05881231, -0.0136845];[6.34996337e-09, 9.99999994e-01];[0.01626472, 0.00385635, 0.00260428, 0.01296105, 0.00394332, 0.00532424]
[0.54030231, -0.0841471, -0.00540302, 0.84147098, 0.05403023, -0.00841471];[0.55504925, -0.08821446, -0.00250142, 0.82975916, 0.05778941, -0.01387745];[6.34996708e-09, 9.99999994e-01];[0.01474694, 0.00406736, 0.0029016, 0.01171182, 0.00375918, 0.00546274]
[0.53186072, -0.08468318, -0.00531861, 0.84683184, 0.05318607, -0.00846832];[0.54520693, -0.08880938, -0.00205454, 0.8362576, 0.05670396, -0.01403458];[6.34997037e-09, 9.99999994e-01];[0.01334621, 0.0041262, 0.00326407, 0.01057424, 0.00351789, 0.00556626]
[0.52336595, -0.0852108, -0.00523366, 0.85210802, 0.0523366, -0.00852108];[0.53542515, -0.08927351, -0.00159504, 0.84256651, 0.05557523, -0.01414067];[6.34997340e-09, 9.99999994e-01];[0.0120592, 0.00406271, 0.00363862, 0.00954151, 0.00323863, 0.00561959]
[0.51481884, -0.0857299, -0.00514819, 0.85729899, 0.05148188, -0.00857299];[0.5257005, -0.08963455, -0.00116158, 0.84869245, 0.05441975, -0.01418785];[6.34997629e-09, 9.99999994e-01];[0.01088166, 0.00390465, 0.00398661, 0.00860654, 0.00293787, 0.00561486]
[0.50622026, -0.08624042, -0.0050622, 0.86240423, 0.05062203, -0.00862404];[5.16028781e-01, -8.99175032e-02, -7.80645150e-04, 8.54642049e-01, 5.32512410e-02, -1.41740223e-02];[6.34997895e-09, 9.99999994e-01];[0.00980852, 0.00367708, 0.00428155, 0.00776218, 0.00262921, 0.00554998]
[0.49757105, -0.08674232, -0.00497571, 0.86742323, 0.0497571, -0.00867423];[5.06405156e-01, -9.01443639e-02, -4.68581750e-04, 8.60421971e-01, 5.20807690e-02, -1.41013768e-02];[6.34998147e-09, 9.99999994e-01];[0.00883411, 0.00340204, 0.00450713, 0.00700126, 0.00232367, 0.00542715]
[0.48887208, -0.08723555, -0.00488872, 0.87235548, 0.04888721, -0.00872355];[4.96824345e-01, -9.03339444e-02, -2.33588507e-04, 8.66038745e-01, 5.09169053e-02, -1.39751667e-02];[6.34998375e-09, 9.99999994e-01];[0.00795226, 0.00309839, 0.00465513, 0.00631673, 0.0020297, 0.00525162]
[0.48012423, -0.08772005, -0.00480124, 0.8772005, 0.04801242, -0.00877201];[4.87280786e-01, -9.05018997e-02, -7.74867259e-05, 8.71498697e-01, 4.97659764e-02, -1.38026575e-02];[6.34998562e-09, 9.99999994e-01];[0.00715656, 0.00278185, 0.00472375, 0.0057018, 0.00175356, 0.00503065]
[0.47132836, -0.08819578, -0.00471328, 0.88195781, 0.04713284, -0.00881958];[4.77768790e-01, -9.06608645e-02, 2.68209147e-06, 8.76807864e-01, 4.86323427e-02, -1.35922394e-02];[6.34998716e-09, 9.99999994e-01];[0.00644043, 0.00246508, 0.00471596, 0.00514995, 0.0014995, 0.00477266]
